#SampleID	AnimalID	AnimalName	SampleDate	Sample_Type	Sex	DateofBirth	StageofLife	Troup	Browse	AnimalID_Browse	SampleDate_Browse	Group	Browse_Group    	Group_AnimalID
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical 	categorical
PZGG104481Sep1218	104481	Kuchima	9/12/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	157862	104481_157862	09/12/2018_157862	not_treated	4	4_104481
PZGG103752Sep1218	103752	Kira	9/12/18	feces	Female	8/8/99	Lactation	Dominant - Family	157862	103752_157862	09/12/2018_157862	not_treated	4	4_103752
PZGG104243Sep1218	104243	Louis	9/12/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	157862	104243_157862	09/12/2018_157862	not_treated	4	4_104243
PZGG103752Sep1118	103752	Kira	9/11/18	feces	Female	8/8/99	Lactation	Dominant - Family	157862	103752_157862	09/11/2018_157862	not_treated	4	4_103752
PZGG104481Sep1118	104481	Kuchima	9/11/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	157862	104481_157862	09/11/2018_157862	not_treated	4	4_104481
PZGG104243Sep1118	104243	Louis	9/11/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	157862	104243_157862	09/11/2018_157862	not_treated	4	4_104243
PZGG104243Sep1018	104243	Louis	9/10/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	157862	104243_157862	09/10/2018_157862	not_treated	4	4_104243
PZGG104481Sep1018	104481	Kuchima	9/10/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	157862	104481_157862	09/10/2018_157862	not_treated	4	4_104481
PZGG103752Sep1018	103752	Kira	9/10/18	feces	Female	8/8/99	Lactation	Dominant - Family	157862	103752_157862	09/10/2018_157862	not_treated	4	4_103752
PZGG104481Apr1218	104481	Kuchima	4/12/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	0	104481_0	04/12/2018_0	not_treated	1	1_104481
PZGG104243Apr1218	104243	Louis	4/12/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	0	104243_0	04/12/2018_0	not_treated	1	1_104243
PZGG103752Apr1218	103752	Kira	4/12/18	feces	Female	8/8/99	Lactation	Dominant - Family	0	103752_0	04/12/2018_0	not_treated	1	1_103752
PZGG104481Apr1118	104481	Kuchima	4/11/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	0	104481_0	04/11/2018_0	not_treated	1	1_104481
PZGG104481Apr1018	104481	Kuchima	4/10/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	0	104481_0	04/10/2018_0	not_treated	1	1_104481
PZGG104243Apr1018	104243	Louis	4/10/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	0	104243_0	04/10/2018_0	not_treated	1	1_104243
PZGG103752Apr1018	103752	Kira	4/10/18	feces	Female	8/8/99	Lactation	Dominant - Family	0	103752_0	04/10/2018_0	not_treated	1	1_103752
PZGG103752Apr918	103752	Kira	4/9/18	feces	Female	8/8/99	Lactation	Dominant - Family	0	103752_0	04/09/2018_0	not_treated	1	1_103752
PZGG104481Mar2918	104481	Kuchima	3/29/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	0	104481_0	03/29/2018_0	not_treated	1	1_104481
PZGG104243Mar2918	104243	Louis	3/29/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	0	104243_0	03/29/2018_0	not_treated	1	1_104243
PZGG103752Mar2918	103752	Kira	3/29/18	feces	Female	8/8/99	Lactation	Dominant - Family	0	103752_0	03/29/2018_0	not_treated	1	1_103752
PZGG104481Mar2818	104481	Kuchima	3/28/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	0	104481_0	03/28/2018_0	not_treated	1	1_104481
PZGG104243Mar2818	104243	Louis	3/28/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	0	104243_0	03/28/2018_0	not_treated	1	1_104243
PZGG104481Mar2718	104481	Kuchima	3/27/18	feces	Male	6/29/02	Mature silverback	Lone/Bachelor	0	104481_0	03/27/2018_0	not_treated	1	1_104481
PZGG104243Mar2718	104243	Louis	3/27/18	feces	Male	5/12/99	Mature silverback	Lone/Bachelor	0	104243_0	03/27/2018_0	not_treated	1	1_104243
PZGG103752Mar2718	103752	Kira	3/27/18	feces	Female	8/8/99	Lactation	Dominant - Family	0	103752_0	03/27/2018_0	not_treated	1	1_103752
